uid,proto,service,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,resp_pkts,label,attack_type
C000000,udp,dns,1.4245,4864,23376,SF,8,12,0,benign
C000001,tcp,ssl,3.7437,6741,4404,RSTO,7,2,0,benign
C000002,tcp,ssl,2.4496,2145,48399,SF,3,17,0,benign
C000003,tcp,http,9.0923,6804,151902,SF,9,54,0,benign
C000004,tcp,-,3.6504,2013,20977,REJ,3,11,0,benign
C000005,tcp,http,2.9804,3630,109630,SF,11,38,0,benign
C000006,tcp,http,3.3155,938,35540,SF,7,20,0,benign
C000007,tcp,http,3.2104,3620,2510,SF,4,10,0,benign
C000008,udp,dns,3.8415,7515,17290,SF,9,26,0,benign
C000009,tcp,ssl,2.9814,4565,55377,SF,11,27,0,benign
C000010,udp,dns,6.931,7995,8544,SF,13,8,0,benign
C000011,tcp,-,0.04833,0,0,S0,1,0,1,ddos
C000012,tcp,http,2.9777,9600,5796,SF,15,18,0,benign
C000013,tcp,ssl,1.2642,7304,7730,SF,8,10,0,benign
C000014,tcp,ssl,1.6744,7848,20280,SF,12,12,0,benign
C000015,tcp,http,2.7016,14459,7848,SF,19,12,0,benign
C000016,tcp,ssl,7.8045,7887,41154,SF,11,57,0,benign
C000017,tcp,ssh,2.8655,264,185,SF,6,5,1,bruteforce
C000018,tcp,-,0.02393,0,0,S0,1,0,1,ddos
C000019,tcp,-,0.00316,0,0,S0,1,0,1,portscan
C000020,tcp,ftp,1.2036,490,288,SF,7,6,1,bruteforce
C000021,tcp,http,4.2642,1547,8239,SF,13,11,0,benign
C000022,udp,dns,1.9158,1275,12360,SF,5,5,0,benign
C000023,tcp,ssh,2.5187,387,459,SF,9,9,1,bruteforce
C000024,tcp,http,2.4638,3794,24640,SF,7,14,0,benign
C000025,tcp,ssh,2.4049,560,180,SF,10,5,1,bruteforce
C000026,tcp,http,1.3508,5013,17778,SF,9,6,0,benign
C000027,tcp,-,0.00712,0,0,S0,1,0,1,portscan
C000028,tcp,ssl,4.0005,4092,13266,SF,6,11,0,benign
